,order_date,order_id,customer,grand_total
139,2011-08-09,CA-2011-110527,Emily Ducich,21
140,2011-04-11,CA-2011-110555,Michelle Moray,410
141,2011-10-06,CA-2011-110611,Joy Daniels,84
142,2011-08-23,CA-2011-110639,Rick Hansen,72
143,2011-12-29,CA-2011-110786,Anthony Johnson,1366
144,2011-04-18,CA-2011-110849,John Lee,323
145,2011-06-01,CA-2011-111003,Corey Roper,335
146,2011-02-04,CA-2011-111059,Tom Boeckenhauer,97
147,2011-12-31,CA-2011-111150,Rob Williams,77
148,2011-03-02,CA-2011-111157,Nicole Hansen,155
149,2011-07-30,CA-2011-111192,Tom Stivers,1368
150,2011-11-24,CA-2011-111360,Alyssa Tate,6
151,2011-12-26,CA-2011-111451,Kelly Lampkin,855
152,2011-08-17,CA-2011-111500,Don Jones,485
153,2011-06-29,CA-2011-111773,Jim Karlsson,14
154,2011-04-23,CA-2011-111857,Nathan Mautz,49
155,2011-03-18,CA-2011-111871,Eileen Kiefer,1198
156,2011-05-04,CA-2011-111899,Nat Carroll,43
157,2011-05-05,CA-2011-111934,Giulietta Dortch,47
158,2011-09-29,CA-2011-111962,Evan Bailliet,818
159,2011-12-02,CA-2011-112158,David Philippe,1051
160,2011-04-03,CA-2011-112291,Katrina Edelman,233
161,2011-01-05,CA-2011-112326,Phillina Ober,288
162,2011-03-31,CA-2011-112403,Jas O'Carroll,1
163,2011-12-16,CA-2011-112718,Kean Nguyen,1
164,2011-09-11,CA-2011-112837,Liz Willingham,128
165,2011-09-17,CA-2011-112851,Nick Radford,183
166,2011-10-24,CA-2011-113047,Arthur Prichep,12
167,2011-12-24,CA-2011-113166,Luke Foster,10
168,2011-12-16,CA-2011-113257,Sean Christensen,329
169,2011-07-09,CA-2011-113271,Darrin Sayre,172
170,2011-12-12,CA-2011-113320,Logan Haushalter,31
171,2011-09-14,CA-2011-113362,Astrea Jones,460
172,2011-09-10,CA-2011-113383,Sandra Flanagan,337
173,2011-12-13,CA-2011-113579,Katherine Ducich,90
174,2011-05-13,CA-2011-113768,Aaron Hawkins,287
175,2011-09-13,CA-2011-113859,Becky Castell,340
176,2011-03-01,CA-2011-113880,Vicky Freymann,652
177,2011-04-05,CA-2011-113887,Tracy Hopkins,55
178,2011-06-16,CA-2011-113929,Chloris Kastensmidt,116
179,2011-09-23,CA-2011-113964,Julie Prescott,18
180,2011-07-09,CA-2011-114125,Gary Hansen,69
181,2011-05-10,CA-2011-114181,Art Foster,372
182,2011-11-01,CA-2011-114195,Erin Ashbrook,94
183,2011-11-05,CA-2011-114251,Maribeth Dona,1477
184,2011-10-11,CA-2011-114314,Dorothy Badders,16
185,2011-08-20,CA-2011-114321,Nick Crebassa,1417
186,2011-09-28,CA-2011-114335,Xylona Preis,337
187,2011-05-13,CA-2011-114433,Naresj Patel,150
188,2011-03-14,CA-2011-114510,Jason Fortune-,280
189,2011-12-23,CA-2011-114517,Tiffany House,110
190,2011-06-13,CA-2011-114643,Filia McAdams,15
191,2011-03-11,CA-2011-114790,Filia McAdams,783
192,2011-09-26,CA-2011-115049,Michael Moore,154
193,2011-05-02,CA-2011-115056,Andrew Roberts,26
194,2011-10-18,CA-2011-115084,Luke Schmidt,605
195,2011-09-26,CA-2011-115133,Dianna Arnett,53
196,2011-02-01,CA-2011-115161,Liz Carlisle,291
197,2011-08-25,CA-2011-115259,Ryan Crowe,199
198,2011-11-18,CA-2011-115336,Ann Blume,14
199,2011-08-06,CA-2011-115357,Roland Fjeld,63
200,2011-01-17,CA-2011-115791,Delfina Latchford,300
201,2011-06-09,CA-2011-115812,Brosina Hoffman,3714
202,2011-11-02,CA-2011-115889,Shahid Hopkins,409
203,2011-11-24,CA-2011-115973,Nathan Gelder,3
204,2011-07-15,CA-2011-115980,Victoria Wilson,10
205,2011-07-26,CA-2011-116190,Sheri Gordon,256
206,2011-03-04,CA-2011-116239,Clay Ludtke,355
207,2011-09-12,CA-2011-116246,Luke Weiss,3785
208,2011-11-15,CA-2011-116407,Jamie Frazer,362
209,2011-12-14,CA-2011-116568,Bryan Mills,186
210,2011-05-08,CA-2011-116666,Kean Thornton,1800
211,2011-12-15,CA-2011-116673,Jas O'Carroll,6
212,2011-06-30,CA-2011-116757,Michael Stewart,47
213,2011-04-26,CA-2011-116785,Marc Harrigan,34
214,2011-10-11,CA-2011-116834,Dean percer,408
215,2011-09-23,CA-2011-116904,Sanjit Chand,9900
216,2011-07-21,CA-2011-116932,Michelle Ellison,1174
217,2011-03-04,CA-2011-117016,Sanjit Chand,16
218,2011-10-19,CA-2011-117317,Jeremy Farry,13
219,2011-08-01,CA-2011-117345,Barbara Fisher,203
220,2011-10-07,CA-2011-117429,Mathew Reese,130
221,2011-07-22,CA-2011-117464,Naresj Patel,1136
222,2011-09-21,CA-2011-117478,Larry Hughes,7
223,2011-05-21,CA-2011-117639,Mitch Willingham,3334
224,2011-05-04,CA-2011-117709,Paul MacIntyre,47
225,2011-09-07,CA-2011-117765,Rick Bensley,644
226,2011-01-14,CA-2011-118192,Michael Moore,41
227,2011-12-29,CA-2011-118276,Michael Granlund,9
228,2011-04-29,CA-2011-118304,Katherine Hughes,20
229,2011-03-17,CA-2011-118339,Bradley Nguyen,250
230,2011-08-05,CA-2011-118962,Chad Sievert,472
231,2011-04-28,CA-2011-118976,Muhammed Yedwab,527
232,2011-11-27,CA-2011-119032,Maxwell Schwartz,4
233,2011-11-16,CA-2011-119144,Justin Deggeller,731
234,2011-11-25,CA-2011-119151,Mike Pelletier,1394
235,2011-05-11,CA-2011-119172,Harold Dahlen,122
236,2011-11-17,CA-2011-119375,Yoseph Carroll,3116
237,2011-12-15,CA-2011-119466,Sung Pak,9
238,2011-11-03,CA-2011-119529,Denise Monton,6
239,2011-10-08,CA-2011-119977,Duane Noonan,124
240,2011-07-04,CA-2011-120096,Katrina Edelman,210
241,2011-12-27,CA-2011-120243,Alyssa Tate,12
242,2011-11-07,CA-2011-120278,Maribeth Schnelling,317
243,2011-09-20,CA-2011-120411,Sarah Brown,505
244,2011-08-24,CA-2011-120432,Dorothy Wardle,26
245,2011-12-01,CA-2011-120474,Resi P�lking,2854
246,2011-11-23,CA-2011-120544,Saphhira Shifley,46
247,2011-11-02,CA-2011-120670,Julie Kriz,800
248,2011-12-19,CA-2011-120768,Irene Maddox,1980
249,2011-10-03,CA-2011-120775,Russell D'Ascenzo,58
250,2011-03-23,CA-2011-120838,Patrick O'Donnell,935
251,2011-12-20,CA-2011-120852,William Brown,85
252,2011-09-27,CA-2011-120887,Thomas Seio,88
253,2011-11-06,CA-2011-120950,George Ashbrook,44
254,2011-11-10,CA-2011-121006,Sam Craven,1195
255,2011-11-28,CA-2011-121167,Mary O'Rourke,17
256,2011-11-04,CA-2011-121286,Odella Nelson,67
257,2011-11-03,CA-2011-121573,Speros Goranitis,841
258,2011-11-28,CA-2011-121629,Brian Thompson,999
259,2011-05-06,CA-2011-121664,Harold Pawlan,141
260,2011-08-19,CA-2011-121727,Jim Karlsson,11
261,2011-02-15,CA-2011-121762,Marina Lichtenstein,561
262,2011-04-08,CA-2011-121769,John Stevenson,172
263,2011-04-22,CA-2011-122070,Aaron Hawkins,258
264,2011-11-24,CA-2011-122217,Harold Pawlan,111
265,2011-04-13,CA-2011-122336,Jonathan Doherty,631
266,2011-02-17,CA-2011-122567,Michael Nguyen,9
267,2011-11-25,CA-2011-122588,Andy Reiter,53
268,2011-11-12,CA-2011-122609,Darren Powers,153
269,2011-07-22,CA-2011-122679,Alejandro Ballentine,20
270,2011-12-03,CA-2011-122749,Nathan Gelder,480
271,2011-09-07,CA-2011-122882,Sean Braxton,539
272,2011-09-29,CA-2011-122931,Suzanne McNair,2359
273,2011-06-30,CA-2011-123064,Russell Applegate,5
274,2011-09-08,CA-2011-123127,Stefania Perrino,17
275,2011-07-11,CA-2011-123225,Michael Nguyen,586
276,2011-08-22,CA-2011-123253,Deanra Eno,4
277,2011-08-26,CA-2011-123260,Frank Merwin,177
278,2011-07-18,CA-2011-123295,Adrian Hane,259
279,2011-10-13,CA-2011-123316,Sibella Parks,8
280,2011-11-07,CA-2011-123323,Lena Hernandez,123
281,2011-09-24,CA-2011-123344,Julia Dunbar,212
282,2011-02-03,CA-2011-123400,Eric Barreto,199
283,2011-01-19,CA-2011-123477,David Wiener,65
284,2011-11-07,CA-2011-123498,Tamara Chand,100
285,2011-06-18,CA-2011-123855,Mick Crebagga,140
286,2011-12-17,CA-2011-123925,Roy Franz�sisch,40
287,2011-04-07,CA-2011-124023,Pauline Johnson,9
288,2011-12-13,CA-2011-124079,Randy Ferguson,93
289,2011-12-16,CA-2011-124247,Stefanie Holloman,1404
290,2011-10-17,CA-2011-124394,Tracy Blumstein,131
291,2011-05-27,CA-2011-124429,Maya Herman,926
292,2011-07-14,CA-2011-124464,Shirley Schmidt,39
293,2011-08-08,CA-2011-124478,Matt Abelman,1110
294,2011-09-21,CA-2011-124513,Sara Luxemburg,66
295,2011-05-02,CA-2011-124618,Cari Schnelling,480
296,2011-06-22,CA-2011-124646,Dianna Vittorini,664
297,2011-08-27,CA-2011-124688,Corey Catlett,1812
298,2011-11-18,CA-2011-124702,Maya Herman,868
299,2011-07-27,CA-2011-124709,Giulietta Weimer,238
300,2011-08-05,CA-2011-124723,Gary Zandusky,489
301,2011-11-26,CA-2011-124730,Lynn Smith,415
302,2011-08-23,CA-2011-124737,Arthur Prichep,424
303,2011-07-12,CA-2011-124807,Max Engle,60
304,2011-09-29,CA-2011-124856,Lisa DeCherney,1609
305,2011-09-28,CA-2011-125136,Keith Dawkins,107
306,2011-05-16,CA-2011-125150,Pauline Webber,233
307,2011-09-03,CA-2011-125171,Allen Goldenen,14
308,2011-09-21,CA-2011-125514,Brian Moss,69
309,2011-12-05,CA-2011-125542,Nona Balk,521
310,2011-11-14,CA-2011-125556,Maris LaWare,877
311,2011-08-03,CA-2011-125612,Berenike Kampe,164
312,2011-11-22,CA-2011-125682,Robert Barroso,10
313,2011-09-10,CA-2011-125731,Clay Ludtke,1509
314,2011-02-09,CA-2011-125759,Nathan Mautz,15
315,2011-11-04,CA-2011-125829,William Brown,1729
316,2011-09-20,CA-2011-125997,Mitch Webber,3519
317,2011-06-23,CA-2011-126032,Brian Stugart,86
318,2011-09-07,CA-2011-126193,Shahid Shariari,322
319,2011-08-25,CA-2011-126200,Joe Elijah,38
320,2011-09-13,CA-2011-126277,Lena Hernandez,3
321,2011-12-23,CA-2011-126333,Michelle Ellison,5
322,2011-08-04,CA-2011-126361,Valerie Dominguez,2126
323,2011-09-09,CA-2011-126403,Rick Reed,2304
324,2011-09-20,CA-2011-126480,Henry Goldwyn,9
325,2011-09-01,CA-2011-126522,Larry Tron,54
326,2011-09-29,CA-2011-126683,Paul Prost,2355
327,2011-07-26,CA-2011-126760,Kunst Miller,1891
328,2011-12-29,CA-2011-126802,Zuschuss Carroll,39
329,2011-11-01,CA-2011-126907,Suzanne McNair,16
330,2011-06-15,CA-2011-126963,Pamela Stobb,37
331,2011-08-11,CA-2011-127012,Greg Matthias,76
332,2011-11-24,CA-2011-127131,Harold Ryan,721
333,2011-05-12,CA-2011-127159,Hunter Lopez,35
334,2011-05-21,CA-2011-127166,Katherine Hughes,187
335,2011-12-04,CA-2011-127187,Cathy Prescott,130
336,2011-09-19,CA-2011-127299,John Lee,2692
337,2011-12-31,CA-2011-127383,Candace McMahon,50
338,2011-11-25,CA-2011-127446,Matt Collister,1274
339,2011-09-22,CA-2011-127488,Maribeth Schnelling,5
340,2011-05-11,CA-2011-127523,Brooke Gillingham,36
341,2011-11-15,CA-2011-127558,Shahid Shariari,803
342,2011-09-26,CA-2011-127586,Christopher Schild,310
343,2011-02-12,CA-2011-127614,Natalie Fritzler,1508
344,2011-07-22,CA-2011-127691,Erin Mull,166
345,2011-03-17,CA-2011-127859,Quincy Jones,127
346,2011-07-20,CA-2011-127866,Jonathan Doherty,602
347,2011-09-02,CA-2011-127936,Clay Ludtke,21
348,2011-03-03,CA-2011-127964,Anne Pryor,161
349,2011-03-31,CA-2011-128055,Alex Avila,727
350,2011-11-19,CA-2011-128062,Alan Dominguez,6
351,2011-06-21,CA-2011-128146,Dave Brooks,1327
352,2011-11-17,CA-2011-128209,Greg Tran,6161
353,2011-03-25,CA-2011-128237,Christina Anderson,92
354,2011-11-11,CA-2011-128524,Mary Zewe,2159
355,2011-10-11,CA-2011-128538,Alan Shonely,8
356,2011-11-15,CA-2011-128622,Scott Cohen,11
357,2011-09-08,CA-2011-128839,Ted Trevino,255
358,2011-04-07,CA-2011-128846,Roland Schwarz,753
359,2011-11-15,CA-2011-128888,Peter B�hler,605
360,2011-08-03,CA-2011-128986,Gary Hansen,93
361,2011-11-22,CA-2011-129091,Ruben Ausman,1023
362,2011-11-02,CA-2011-129147,Liz Carlisle,609
363,2011-08-17,CA-2011-129168,Ken Black,16
364,2011-07-21,CA-2011-129189,Harry Marie,752
365,2011-12-08,CA-2011-129364,Tim Brockman,266
366,2011-05-26,CA-2011-129574,Dean percer,48
367,2011-12-13,CA-2011-129819,Kimberly Carter,12
368,2011-07-12,CA-2011-129924,Alyssa Crouse,706
369,2011-12-15,CA-2011-129938,Ed Braxton,446
370,2011-01-12,CA-2011-130092,Seth Vernon,10
371,2011-05-19,CA-2011-130155,Tamara Dahlen,34
372,2011-05-03,CA-2011-130274,Joni Sundaresam,22
373,2011-03-03,CA-2011-130421,Sam Craven,177
374,2011-03-31,CA-2011-130428,Trudy Glocke,1142
375,2011-09-06,CA-2011-130449,Victoria Pisteka,100
376,2011-12-14,CA-2011-130575,Cari Sayre,9
377,2011-06-21,CA-2011-130624,Toby Braunhardt,697
378,2011-05-20,CA-2011-130673,Matt Collister,108
379,2011-10-24,CA-2011-130729,Allen Armold,34
380,2011-01-07,CA-2011-130813,Lycoris Saunders,19
381,2011-11-17,CA-2011-130869,Cassandra Brandow,7
382,2011-08-22,CA-2011-130918,Jeremy Pistek,8
383,2011-12-30,CA-2011-130960,Ken Brennan,10
384,2011-09-07,CA-2011-131002,Tom Boeckenhauer,1040
385,2011-03-01,CA-2011-131009,Shahid Collister,574
386,2011-12-01,CA-2011-131051,Toby Ritter,58
387,2011-03-30,CA-2011-131247,Guy Armstrong,206
388,2011-07-12,CA-2011-131310,Clay Ludtke,134
389,2011-04-28,CA-2011-131387,Arianne Irving,1680
390,2011-08-08,CA-2011-131450,Lena Radford,2050
391,2011-12-01,CA-2011-131527,Toby Braunhardt,96
392,2011-07-28,CA-2011-131541,Chloris Kastensmidt,193
393,2011-12-30,CA-2011-131800,Astrea Jones,158
394,2011-02-07,CA-2011-131905,Neil Ducich,322
395,2011-06-01,CA-2011-131926,Dianna Wilson,3746
396,2011-09-17,CA-2011-131947,Joseph Airdo,318
397,2011-10-13,CA-2011-132010,Michelle Arnett,390
398,2011-11-04,CA-2011-132227,Sam Zeldin,52
399,2011-09-26,CA-2011-132451,Karen Ferguson,605
400,2011-09-08,CA-2011-132500,Gary Zandusky,50
401,2011-10-06,CA-2011-132542,Alice McCarthy,15
402,2011-06-09,CA-2011-132612,Frank Olsen,1441
403,2011-09-19,CA-2011-132787,Mike Caudle,93
404,2011-10-07,CA-2011-132801,John Grady,107
405,2011-12-02,CA-2011-132864,Katherine Nockton,120
406,2011-12-24,CA-2011-132913,Adam Shillingsburg,14
407,2011-09-13,CA-2011-132962,Jessica Myrick,268
408,2011-04-28,CA-2011-132983,David Smith,160
409,2011-08-19,CA-2011-133158,David Wiener,359
410,2011-04-04,CA-2011-133228,Maurice Satty,85
411,2011-06-06,CA-2011-133270,Bryan Mills,13
412,2011-07-11,CA-2011-133305,Mark Hamilton,67
413,2011-02-23,CA-2011-133354,Sue Ann Reed,19
414,2011-06-22,CA-2011-133389,Toby Braunhardt,8
415,2011-03-30,CA-2011-133424,Dorris liebe,60
416,2011-12-22,CA-2011-133543,Khloe Miller,12
417,2011-12-31,CA-2011-133592,Katherine Murray,2846
418,2011-11-05,CA-2011-133634,Steven Roelle,48
419,2011-08-03,CA-2011-133690,Bruce Stewart,221
420,2011-09-20,CA-2011-133704,Michelle Arnett,64
421,2011-06-09,CA-2011-133753,Carl Weiss,142
422,2011-11-18,CA-2011-133809,MaryBeth Skach,21
423,2011-12-05,CA-2011-133830,Rob Lucas,91
424,2011-06-09,CA-2011-133851,Chuck Magee,30
425,2011-05-18,CA-2011-133963,George Ashbrook,4
426,2011-04-29,CA-2011-134061,Lauren Leatherbury,17
427,2011-01-31,CA-2011-134103,Mike Vittorini,241
428,2011-08-04,CA-2011-134215,Marina Lichtenstein,617
429,2011-07-06,CA-2011-134278,Emily Phan,560
430,2011-11-01,CA-2011-134313,Russell Applegate,2027
431,2011-12-20,CA-2011-134551,Tony Sayre,732
432,2011-04-20,CA-2011-134572,Seth Vernon,1191
433,2011-12-21,CA-2011-134621,Dennis Pardue,18
434,2011-10-06,CA-2011-134677,Xylona Preis,9
435,2011-11-02,CA-2011-134726,Steven Ward,95
436,2011-11-22,CA-2011-135090,Susan Pistek,54
437,2011-01-10,CA-2011-135405,Melanie Seite,41
438,2011-12-08,CA-2011-135608,Jim Karlsson,650
439,2011-06-03,CA-2011-135657,Steven Cartwright,516
440,2011-08-29,CA-2011-135699,Hilary Holden,123
441,2011-05-03,CA-2011-135755,Nathan Cano,51
442,2011-05-28,CA-2011-135993,Patrick Jones,85
443,2011-11-29,CA-2011-136280,Corey-Lock,5
444,2011-04-21,CA-2011-136336,Dorothy Badders,829
445,2011-12-16,CA-2011-136399,Chad Cunningham,1308
446,2011-12-20,CA-2011-136567,Penelope Sewall,2884
447,2011-06-16,CA-2011-136644,Sonia Cooley,648
448,2011-04-06,CA-2011-136742,Guy Phonely,45
449,2011-09-05,CA-2011-136861,Patrick Ryan,32
450,2011-10-20,CA-2011-137092,Lindsay Shagiari,862
451,2011-03-29,CA-2011-137274,Mike Gockenbach,891
452,2011-09-30,CA-2011-137351,Doug Bickford,43
453,2011-08-06,CA-2011-137575,Trudy Brown,200
454,2011-11-03,CA-2011-137589,Maxwell Schwartz,286
455,2011-10-09,CA-2011-137911,Bart Pistole,89
456,2011-08-15,CA-2011-138023,Keith Herrera,31
457,2011-12-30,CA-2011-138072,Guy Armstrong,28
458,2011-09-15,CA-2011-138100,Alex Avila,30
459,2011-12-09,CA-2011-138128,Frank Preis,1111
460,2011-09-19,CA-2011-138177,Neil Ducich,74
461,2011-07-18,CA-2011-138198,Jack Lebron,14
462,2011-10-09,CA-2011-138240,Shirley Jackson,161
463,2011-12-05,CA-2011-138296,Roy Collins,25
464,2011-06-21,CA-2011-138317,Natalie Webber,385
465,2011-04-01,CA-2011-138359,Katharine Harms,73
466,2011-03-26,CA-2011-138436,Jonathan Doherty,66
467,2011-10-18,CA-2011-138450,Edward Hooks,249
468,2011-05-23,CA-2011-138513,Erica Hackney,13
469,2011-09-12,CA-2011-138527,Brad Norvell,192
470,2011-12-20,CA-2011-138681,Carol Triggs,597
471,2011-07-04,CA-2011-138709,Maxwell Schwartz,37
472,2011-12-07,CA-2011-138737,Frank Preis,9
473,2011-04-11,CA-2011-138940,Gary Mitchum,758
474,2011-05-11,CA-2011-139017,Raymond Messe,47
475,2011-05-27,CA-2011-139192,Lena Creighton,1213
476,2011-11-23,CA-2011-139283,Bobby Trafton,15
477,2011-11-01,CA-2011-139423,Deirdre Greer,76
478,2011-10-12,CA-2011-139451,Duane Noonan,36
479,2011-10-25,CA-2011-139542,Evan Henry,54
480,2011-12-26,CA-2011-139598,Maureen Gnade,362
481,2011-12-17,CA-2011-139633,Erin Creighton,5
482,2011-02-03,CA-2011-139857,Cynthia Delaney,12
483,2011-09-08,CA-2011-139892,Becky Martin,10540
484,2011-03-21,CA-2011-140004,Cassandra Brandow,13
485,2011-09-08,CA-2011-140032,Toby Swindell,9
